S. No.,Name,Location Name,Coordinates,Mobile company,Model Number,Network Provider,Processor,RAM,dBLevel,asu,Uplink Frequency(in kbps),Downlink Frequency(in kbps)
1,,Classroom,29.35732N,,,,,,-110 dBm,56 asu,64350,28037
,,,79.55190E,,,,,,,,,
2,,Terrace,29.35872N,,,,,,-109 dBm,57 asu,57150,26442
,,,79.552262E,,,,,,,,,
3,,Goal Post,29.3572687N,,,,,,-103 dBm,62 asu,24187,10879
,,,79.5518878E,,,,,,,,,
4,,Parking OB,29.3572683N,,,,,,-91 dBm,51 asu,16621,35065
,,,79.5518875E,,,,,,,,,
5,,Entrance OB,29.3559729N,,,,,,-114 dBm,27 asu,34567,11581
,,,79.5524451E,,,,,,,,,
6,,Well OB,29.3572947N,,,,,,-105 dBm,35 asu,16600,33334
,,,79.5518947E,,,,,,,,,
7,,Back Gate,29.355799N,,,,,,-114 dBm,26 asu,64350,20715
,,,79.5511183E,,,,,,,,,
8,,DMS Backyard,29.3560616N,,,,,,-111 dBm,47 asu,42862,42154
,,,79.5524351E,,,,,,,,,
9,,Badminton Court,29.3567974N,,,,,,-89 dBm,33 asu,49950,28979
,,,79.5532497E,,,,,,,,,
10,,Main Gate,29.3561819N,,,,,,-101 dBm,48 asu,16593,16593
,,,79.554136E,,,,,,,,,
11,,Staff Quater 1,29.3569388N,,,,,,-107 dBm,50 asu,64350,65054
,,,79.55413923E,,,,,,,,,
12,,Girls Mess,29.3574919N,,,,,,-92 dBm,27 asu,56900,79076
,,,79.5553197E,,,,,,,,,
13,,Boys Mess,29.3577518N,,,,,,-90 dBm,61 asu,45677,56783
,,,79.553476E,,,,,,,,,
14,,B2 /B3,29.358890N,,,,,,-113 dBm,64 asu,56789,76470
,,,79.55295E,,,,,,,,,
15,,Basketball Court,29.3574036N,,,,,,-80 dBm,74 asu,57890,67654
,,,79.55206E,,,,,,,,,
16,,Under Construction,29.3575750N,,,,,,-86 dBm,78 asu,24567,45676
,,,79.552236E,,,,,,,,,
17,,Rooftoop,29.3577141N,,,,,,-70 dBm,60 asu,23570,45677
,,,79.3519698E,,,,,,,,,
